id,latitude,longitude,place
ak02093ianxr,63.4969,-151.0045,"36 km E of Denali National Park, Alaska"
ak02093id4mn,64.7135,-148.5493,"29 km WSW of Ester, Alaska"
ak02093idzc1,58.5174,-143.5515,"247 km WSW of Yakutat, Alaska"
ak02093ig1fa,51.8361,-177.3711,"50 km W of Adak, Alaska"
ak02093ig2ti,58.3319,-133.4657,"56 km E of Juneau, Alaska"
ak02093iiftz,56.4232,-148.4232,"269 km ESE of Chiniak, Alaska"
ak02093iuetk,66.953,-156.5641,"14 km ENE of Kobuk, Alaska"
ak02093iwjn1,58.3706,-133.5758,"50 km E of Juneau, Alaska"
ak02093j1jqs,64.6345,-149.8474,"34 km W of Four Mile Road, Alaska"
ak02093j2j1x,61.2436,-149.6794,"2 km WSW of Elmendorf Air Force Base, Alaska"
ak02093j56xo,65.2366,-166.7935,"3 km SE of Port Clarence, Alaska"
ak02093jeua5,58.9984,-152.202,"42 km SSW of Nanwalek, Alaska"
ak02093jk7is,63.3724,-151.8172,"19 km SSW of Denali National Park, Alaska"
ak02093jnmqt,58.3945,-133.5401,"52 km E of Juneau, Alaska"
ak02093jouvo,58.3752,-133.5038,"54 km E of Juneau, Alaska"
ak02093jpwk5,61.0543,-151.0523,"4 km ESE of Tyonek, Alaska"
ak02093k1adw,65.5825,-134.8404,"206 km S of Fort McPherson, Canada"
ak02093k60a1,58.3284,-133.465,"56 km E of Juneau, Alaska"
ak02093k80h9,61.5934,-141.1818,"94 km E of McCarthy, Alaska"
ak02093k9wz9,58.3481,-133.499,"54 km E of Juneau, Alaska"
ak02093kajif,63.2265,-150.4971,"70 km ESE of Denali National Park, Alaska"
ak02093kl0zf,64.8604,-149.0219,"29 km N of Four Mile Road, Alaska"
ak02093koxbj,61.1063,-148.2644,"43 km NNE of Whittier, Alaska"
ak02093kphf2,61.1515,-148.1971,"49 km NNE of Whittier, Alaska"
ak02093kpy12,52.5104,-173.0423,"86 km ENE of Atka, Alaska"
ak02093kqu48,60.1469,-150.7189,"34 km NNE of Fox River, Alaska"
ak02093kr854,66.2874,-157.218,"67 km S of Shungnak, Alaska"
ak02093kuekn,61.599,-147.9321,"27 km SSW of Glacier View, Alaska"
ak02093kuvin,62.2847,-141.679,"51 km SSW of Alcan Border, Alaska"
ak02093kvp08,61.6774,-150.6562,"16 km NNW of Susitna, Alaska"
ak02093l6f42,50.9996,-177.7148,"122 km SW of Adak, Alaska"
ak02093l7j9d,66.3084,-157.274,"64 km S of Shungnak, Alaska"
ak02093l7or7,66.8118,-156.0662,"37 km ESE of Kobuk, Alaska"
ak02093l8085,64.5725,-147.5951,"23 km SSW of North Pole, Alaska"
ak02093lapvo,58.3979,-133.5409,"52 km ENE of Juneau, Alaska"
ak02093lcxwa,66.3354,-157.2397,"61 km S of Shungnak, Alaska"
ak02093ldgyp,58.3705,-133.4925,"54 km E of Juneau, Alaska"
ak02093lgbfp,61.7051,-134.9147,"110 km N of Whitehorse, Canada"
ak02093ls9gn,62.0697,-149.3705,"27 km ESE of Y, Alaska"
ak02093ltgcc,66.345,-157.2809,"60 km S of Shungnak, Alaska"
ak02093lvcnt,59.4273,-151.9255,"7 km N of Nanwalek, Alaska"
ak02093lxmqt,57.4794,-155.1543,"43 km WSW of Karluk, Alaska"
ak02093ly4vy,61.5709,-150.0377,"7 km NW of Big Lake, Alaska"
ak02093m1c8g,61.0881,-148.4279,"37 km NNE of Whittier, Alaska"
ak02093mdwza,62.6904,-149.3931,"45 km NE of Chase, Alaska"
ak02093mf0fh,61.5066,-148.811,"7 km NE of Knik River, Alaska"
ak02093mk4w9,51.8362,-177.3648,"50 km W of Adak, Alaska"
ak02093ml2gb,63.3292,-145.3381,"30 km NNE of Paxson, Alaska"
ak02093mmrjt,63.719,-148.4112,"24 km E of McKinley Park, Alaska"
ak02093mzmf0,59.8908,-153.2166,"51 km ENE of Pedro Bay, Alaska"
ak02093mzt42,65.5396,-149.5849,"27 km E of Rampart, Alaska"
ak02093n1xfu,62.1156,-150.7221,"33 km SW of Trapper Creek, Alaska"
ak02093n2gxz,58.3638,-133.5199,"53 km E of Juneau, Alaska"
ak02093n5kyp,60.4187,-152.6095,"66 km NW of Ninilchik, Alaska"
ak02093n691p,63.4945,-149.2797,"20 km NW of Cantwell, Alaska"
ak02093n84ou,63.1672,-151.3024,"46 km SSE of Denali National Park, Alaska"
ak02093na5qv,51.8386,-177.86,"84 km W of Adak, Alaska"
ak02093njzv5,62.08,-150.6831,"35 km SW of Trapper Creek, Alaska"
ak02093nm3r6,58.1804,-155.3715,"87 km NW of Karluk, Alaska"
ak02093nogt9,59.703,-152.5481,"41 km WSW of Anchor Point, Alaska"
ak02093nrae4,62.9251,-150.6981,"47 km N of Petersville, Alaska"
ak02093nrncw,63.4299,-144.9164,"27 km SSW of Dry Creek, Alaska"
ak02093nrwuj,58.3244,-133.437,"57 km E of Juneau, Alaska"
ak02093nrz0u,65.8081,-151.5226,"70 km WNW of Rampart, Alaska"
ak02093nun5f,66.1465,-151.3363,"73 km SE of New Allakaket, Alaska"
ak02093nw1ey,64.4206,-152.1449,"60 km N of Lake Minchumina, Alaska"
ak02093nw5ej,65.5885,-166.7272,"30 km NNW of Brevig Mission, Alaska"
ak02093o9p6w,58.3444,-133.4937,"54 km E of Juneau, Alaska"
ak02093o9p81,60.1565,-149.3439,"2 km ESE of Bear Creek, Alaska"
ak02093ogu5a,63.264,-148.9271,"14 km S of Cantwell, Alaska"
ak02093ohs8k,61.3433,-140.9066,"108 km E of McCarthy, Alaska"
ak02093ouyea,61.4195,-146.6423,"35 km NNW of Valdez, Alaska"
ak02093p2tcf,63.0601,-151.5323,"54 km S of Denali National Park, Alaska"
ak02093p343f,62.5606,-151.1718,"22 km WNW of Petersville, Alaska"
ak02093pdlkm,65.6747,-148.3984,"18 km NNE of Livengood, Alaska"
ak02093peu4z,54.1436,-164.3129,"95 km E of Akutan, Alaska"
ak02093pfw0p,61.852,-150.1168,"12 km NNW of Willow, Alaska"
ak02093pgyvn,54.4619,-161.7305,"76 km SSE of King Cove, Alaska"
ak02093pip1s,63.1143,-149.1982,"33 km SSW of Cantwell, Alaska"
ak02093pj399,64.3388,-150.1605,"47 km W of Anderson, Alaska"
ak02093plrtk,69.3934,-143.4911,"82 km S of Kaktovik, Alaska"
ak02093pmds5,62.9325,-150.7904,"48 km N of Petersville, Alaska"
ak02093pz8fi,51.5255,-176.6874,"38 km S of Adak, Alaska"
ak02093pzhhj,60.9748,-152.0342,"49 km WSW of Tyonek, Alaska"
ak02093q2ht3,61.2461,-151.4341,"22 km WNW of Beluga, Alaska"
ak02093q2uma,51.1871,179.1976,"299 km WSW of Adak, Alaska"
ak02093q5sw8,58.2343,-155.1837,"85 km NNW of Karluk, Alaska"
ak02093q98dn,63.4566,-148.8998,"7 km NNE of Cantwell, Alaska"
ak02093qkdpu,61.1529,-140.0483,"144 km WNW of Haines Junction, Canada"
ak02093qlbmo,61.4583,-149.8997,"7 km SSE of Big Lake, Alaska"
ak02093qor5q,59.6094,-152.8213,"58 km WNW of Nanwalek, Alaska"
ak02093qpy5u,60.2189,-152.8221,"66 km WNW of Ninilchik, Alaska"
ak02093qra9k,51.8607,-177.35,"49 km W of Adak, Alaska"
ak02093qrrcn,58.3669,-133.5413,"51 km E of Juneau, Alaska"
ak02093qscl3,60.4596,-142.8637,"108 km S of McCarthy, Alaska"
ak02093qsivd,59.7514,-151.8329,"2 km S of Anchor Point, Alaska"
ak02093qtnfx,61.6879,-151.0017,"30 km WNW of Susitna, Alaska"
ak02093qtw5m,62.8327,-148.5322,"65 km SSE of Cantwell, Alaska"
ak02093qvs98,63.0948,-149.2341,"36 km SSW of Cantwell, Alaska"
ak02093raesx,61.5721,-146.3491,"49 km N of Valdez, Alaska"
ak02093raro6,58.3344,-133.4815,"55 km E of Juneau, Alaska"
ak02093razvc,51.9386,-175.0106,"62 km WSW of Atka, Alaska"
ak02093rczxr,63.3213,-150.692,"57 km ESE of Denali National Park, Alaska"
ak02093rdrwn,51.5102,-176.044,"57 km SE of Adak, Alaska"
ak02093rfi31,57.3438,-153.8778,"22 km SSE of Larsen Bay, Alaska"
ak02093rry2d,66.3467,-157.2644,"60 km S of Shungnak, Alaska"
ak02093rtmja,51.7814,-179.9208,"226 km W of Adak, Alaska"
ak02093ruj0q,60.4849,-142.9476,"105 km S of McCarthy, Alaska"
ak02093rv5ld,54.15,-165.9717,"12 km W of Akutan, Alaska"
ak02093rwx5n,60.1801,-147.0751,"53 km ENE of Chenega, Alaska"
ak02093s1jtv,58.3843,-133.5083,"54 km E of Juneau, Alaska"
ak02093sir29,55.1923,-161.034,"37 km WSW of Sand Point, Alaska"
ak02093slk6b,68.0641,-162.8252,"3 km NE of Red Dog Mine, Alaska"
ak02093sysq3,54.3447,-162.6169,"76 km SE of False Pass, Alaska"
ak02093syzv6,51.7717,-177.1681,"38 km WSW of Adak, Alaska"
ak02093sza7m,58.8601,-154.581,"65 km S of Kokhanok, Alaska"
ak02093t0ci0,51.741,-177.1067,"35 km WSW of Adak, Alaska"
ak02093t1ddx,51.1711,-179.0402,"184 km WSW of Adak, Alaska"
ak02093t6cfk,66.3397,-157.3034,"61 km S of Shungnak, Alaska"
ak02093t7knv,53.148,-162.9801,"191 km S of False Pass, Alaska"
ak02093tnw71,64.252,-148.5847,"29 km E of Clear, Alaska, Alaska"
ak02093tpu9e,60.5908,-151.594,"15 km W of Salamatof, Alaska"
ak02093ttvgj,58.3419,-133.4958,"54 km E of Juneau, Alaska"
ak02093u44qp,64.9732,-147.369,"11 km E of Fox, Alaska"
ak02093u5w2u,58.3757,-133.5425,"52 km E of Juneau, Alaska"
ak02093ueiof,64.9975,-150.2839,"16 km E of Manley Hot Springs, Alaska"
ak020953ye5t,66.3162,-157.3325,"64 km S of Shungnak, Alaska"
ak0209542ldg,58.2924,-133.5903,"48 km E of Juneau, Alaska"
ak020954a5kd,58.3671,-133.6164,"47 km E of Juneau, Alaska"
ak020954miel,60.2458,-153.1192,"66 km E of Port Alsworth, Alaska"
ak020954mppv,63.412,-145.0064,"31 km SSW of Dry Creek, Alaska"
ak020954peia,58.3617,-133.5909,"49 km E of Juneau, Alaska"
ak020954rgm9,60.2183,-151.0353,"18 km SE of Kasilof, Alaska"
ak020954sjd8,58.224,-133.7222,"41 km ESE of Juneau, Alaska"
ak020954vuaj,63.4794,-148.859,"10 km NNE of Cantwell, Alaska"
ak02095559kt,62.6815,-145.5198,"43 km NNW of Gakona, Alaska"
ak0209557i50,58.8566,-154.3375,"69 km SSE of Kokhanok, Alaska"
ak020955zh8p,58.3798,-133.6218,"47 km E of Juneau, Alaska"
ak020956dlqz,62.8005,-149.9148,"40 km NNE of Chase, Alaska"
ak020956i9xh,59.5628,-152.1943,"27 km NW of Nanwalek, Alaska"
ak020956lxre,51.8644,-177.8091,"80 km W of Adak, Alaska"
ak020956x92v,64.5853,-148.8631,"11 km ENE of Nenana, Alaska"
ak020956z735,62.9766,-151.314,"60 km NNW of Petersville, Alaska"
ak0209570qcs,61.6893,-150.3412,"17 km WSW of Willow, Alaska"
ak0209571n49,63.3365,-151.5006,"25 km SSE of Denali National Park, Alaska"
ak0209574uat,60.7739,-151.4192,"11 km NW of Nikiski, Alaska"
ak020957kw0w,62.0682,-148.3771,"30 km N of Chickaloon, Alaska"
ak020957lzbv,61.0759,-152.3771,"66 km W of Tyonek, Alaska"
ak020957qwlc,61.6809,-150.3059,"16 km WSW of Willow, Alaska"
ak020958czen,61.0554,-146.3612,"8 km S of Valdez, Alaska"
ak020958exps,69.2096,-144.4099,"107 km SSW of Kaktovik, Alaska"
ak020958gs0o,61.056,-148.4769,"33 km NNE of Whittier, Alaska"
ak020958qo9m,63.2915,-151.6953,"27 km S of Denali National Park, Alaska"
ak020958s5ha,61.8655,-147.9748,"18 km WNW of Glacier View, Alaska"
ak020958vchv,61.3165,-150.0921,"7 km SW of Point MacKenzie, Alaska"
ak020959glkx,61.0916,-150.8071,Southern Alaska
ak020959i23p,56.4693,-156.197,"134 km WSW of Akhiok, Alaska"
ak02095a2wkd,58.3132,-133.6177,"47 km E of Juneau, Alaska"
ak02095ai31x,61.6603,-151.6222,"38 km SSW of Skwentna, Alaska"
ak02095ajzpz,64.727,-149.1398,"13 km N of Four Mile Road, Alaska"
ak02095ao2az,68.8349,-146.6945,"92 km NNW of Arctic Village, Alaska"
ak02095b3jlk,60.0636,-152.9344,"68 km W of Happy Valley, Alaska"
ak02095b584l,64.2433,-149.9582,"37 km W of Clear, Alaska, Alaska"
ak02095bt3p9,61.5672,-146.1948,"49 km N of Valdez, Alaska"
ak02095ci5qk,61.6543,-148.0313,"26 km SW of Glacier View, Alaska"
ak02095d2jmn,64.7732,-161.8635,"25 km NE of Elim, Alaska"
ak02095d7wrc,60.3629,-151.2816,"1 km ESE of Cohoe, Alaska"
ak02095dibp7,60.9098,-153.2261,"98 km NE of Port Alsworth, Alaska"
ak02095djmjz,65.5922,-162.3359,"56 km SSE of Deering, Alaska"
ak02095dqw2q,59.9795,-152.173,"24 km W of Happy Valley, Alaska"
ak02095e8hrx,60.4612,-159.0308,"124 km S of Chuathbaluk, Alaska"
ak02095eamuw,62.3795,-149.6886,"22 km ENE of Talkeetna, Alaska"
ak02095ebbyb,66.3094,-157.6389,"68 km SSW of Shungnak, Alaska"
ak02095edeh1,66.3252,-157.2001,"62 km S of Shungnak, Alaska"
ak02095ep8l8,59.9737,-152.8908,"63 km WNW of Anchor Point, Alaska"
ak02095er36y,62.4061,-149.1689,"44 km NE of Y, Alaska"
ak02095fd7jm,67.3729,-143.1901,"83 km NNE of Chalkyitsik, Alaska"
ak02095fh4yg,63.2984,-151.3325,"33 km SE of Denali National Park, Alaska"
ak02095fijgo,60.3327,-153.0717,"70 km ENE of Port Alsworth, Alaska"
ak02095flsnw,68.8145,-146.4838,"85 km NNW of Arctic Village, Alaska"
ak02095g4pxd,62.4644,-151.4556,"35 km W of Petersville, Alaska"
ak02095h3jg7,64.7047,-148.9662,"13 km NNE of Four Mile Road, Alaska"
ak02095h82fe,63.4625,-148.8882,"8 km NNE of Cantwell, Alaska"
ak02095heavb,65.2728,-155.4388,"59 km N of Ruby, Alaska"
ak02095horg0,64.7405,-147.6038,"7 km SSW of Badger, Alaska"
ak02095hvfkg,59.8102,-153.346,"42 km E of Pedro Bay, Alaska"
ak02096rknr7,61.0202,-147.5544,"50 km WNW of Tatitlek, Alaska"
ak02096rli1c,63.2178,-151.3997,"39 km SSE of Denali National Park, Alaska"
ak02096s7fg7,63.7514,-148.4462,"23 km E of McKinley Park, Alaska"
ak02096s8xzx,59.6947,-150.7898,"20 km SSE of Fox River, Alaska"
ak02096sc5m5,59.8391,-152.6755,"47 km W of Anchor Point, Alaska"
ak02096sveg9,60.6268,-149.1717,"18 km NE of Moose Pass, Alaska"
ak02096sy8ti,61.6603,-150.9342,"25 km WNW of Susitna, Alaska"
ak02096t9qcn,62.9464,-151.4731,"61 km NW of Petersville, Alaska"
ak02096tdn9l,62.1623,-152.1151,"42 km WNW of Skwentna, Alaska"
ak02096twz8l,63.4449,-145.9744,"43 km NNW of Paxson, Alaska"
ak02096u4kv0,61.5118,-149.927,"1 km SE of Big Lake, Alaska"
ak02096uhz1h,61.0865,-146.8745,"26 km NNW of Tatitlek, Alaska"
ak02096ul6nr,61.2701,-146.8781,"32 km WNW of Valdez, Alaska"
ak02096umlqi,60.9147,-150.3909,"Kenai Peninsula, Alaska"
ak02096up8v8,67.3539,-156.3775,"54 km NNE of Kobuk, Alaska"
ak02096upf67,61.5892,-141.8323,"60 km ENE of McCarthy, Alaska"
ak02096vawhj,61.7996,-150.6645,"29 km NNW of Susitna, Alaska"
ak02096veo9m,61.0895,-148.3678,"39 km NNE of Whittier, Alaska"
ak02096vpoo9,61.8311,-148.8376,"7 km NNW of Sutton-Alpine, Alaska"
ak02096vqh2i,61.4034,-151.8423,"50 km NW of Beluga, Alaska"
ak02096vso8q,61.4339,-150.0926,"10 km NW of Point MacKenzie, Alaska"
ak02096wambz,60.667,-152.076,"41 km W of Salamatof, Alaska"
ak02096wcqid,61.3446,-146.6885,"30 km NW of Valdez, Alaska"
ak02096wdudl,63.3873,-149.8206,"43 km W of Cantwell, Alaska"
ak02096wgfce,59.99,-152.5582,"46 km W of Happy Valley, Alaska"
ak02096wgw2o,58.3894,-133.6394,"46 km ENE of Juneau, Alaska"
ak02096whrpo,61.405,-146.9828,"45 km NW of Valdez, Alaska"
ak02096wxv60,60.083,-151.6953,"Kenai Peninsula, Alaska"
ak02096wzi8x,58.3165,-155.0618,"90 km NNW of Karluk, Alaska"
ak02096x4312,66.3093,-157.1818,"64 km S of Shungnak, Alaska"
ak02096x72fk,67.3904,-156.3814,"58 km NNE of Kobuk, Alaska"
ak02096xgxzx,59.1096,-152.1501,"30 km SSW of Nanwalek, Alaska"
ak02096xjmy9,66.2094,-157.1712,"66 km NNW of Huslia, Alaska"
ak02096xlrzq,61.4084,-150.0377,"6 km NNW of Point MacKenzie, Alaska"
ak02096xnhde,60.873,-150.7137,"5 km SSW of Point Possession, Alaska"
ak02096ydgt8,64.88,-147.7521,"3 km NE of College, Alaska"
ak02096yshhx,61.6585,-144.7511,"12 km ESE of Kenny Lake, Alaska"
ak02096ysqm2,66.6617,-148.3615,"54 km NW of Beaver, Alaska"
ak02096yunar,57.3583,-155.5615,"70 km WSW of Karluk, Alaska"
ak02096zbyps,63.4401,-151.1123,"32 km ESE of Denali National Park, Alaska"
ak02096zga71,69.6843,-144.3247,"56 km SSW of Kaktovik, Alaska"
ak02096zhif4,67.1784,-155.8598,"53 km ENE of Kobuk, Alaska"
ak02096zhkhr,61.444,-149.3787,"14 km ESE of Knik-Fairview, Alaska"
ak02096ztie4,61.4414,-149.3955,Southern Alaska
ak02096zz2bg,62.5636,-151.1116,"19 km WNW of Petersville, Alaska"
ak0209700nkn,61.3259,-152.2644,"66 km WNW of Beluga, Alaska"
ak020970eys4,61.2593,-146.7267,"24 km NW of Valdez, Alaska"
ak020970mai3,61.1636,-139.7042,"127 km WNW of Haines Junction, Canada"
ak020970nidh,63.1783,-150.8004,"61 km SE of Denali National Park, Alaska"
ak020970qcj7,60.1742,-148.2981,"19 km NW of Chenega, Alaska"
ak020971a0pe,60.1748,-150.8473,"29 km SE of Kasilof, Alaska"
ak020971a2ue,68.8592,-147.579,"116 km NW of Arctic Village, Alaska"
ak020971ug2u,61.4986,-149.9148,"3 km SE of Big Lake, Alaska"
ak020972xhek,59.1862,-152.4298,"34 km WSW of Nanwalek, Alaska"
ak020973mnww,63.1512,-152.7145,"65 km SW of Denali National Park, Alaska"
ak02097443ey,63.2999,-151.3683,"32 km SSE of Denali National Park, Alaska"
ak020974abpr,58.2784,-133.6842,"43 km E of Juneau, Alaska"
ak020974ar9o,63.0314,-149.1777,"41 km SSW of Cantwell, Alaska"
ak020974l03h,58.8443,-152.6961,"72 km SW of Nanwalek, Alaska"
ak020974o6nr,62.8492,-150.2212,"45 km N of Chase, Alaska"
ak020975eux8,50.4829,-179.988,"280 km SW of Adak, Alaska"
ak020975eyju,64.9488,-147.4998,"5 km E of Fox, Alaska"
ak02098f724x,66.3018,-157.2294,"65 km S of Shungnak, Alaska"
ak02098f8b3x,62.1379,-154.9259,"91 km NNE of Lime Village, Alaska"
ak02098ftz7x,61.3758,-151.3215,"29 km NNW of Beluga, Alaska"
ak02098gdo24,61.4687,-149.069,"8 km W of Knik River, Alaska"
ak02098ghzgl,61.1414,-150.9809,"5 km E of Beluga, Alaska"
ak02098gj1an,61.8995,-150.2987,"21 km NW of Willow, Alaska"
ak02098gj377,65.4903,-148.1296,"19 km ESE of Livengood, Alaska"
ak02098gtkrj,61.0541,-148.4835,"33 km NNE of Whittier, Alaska"
ak02098gyxcw,66.2643,-156.7086,"64 km NNW of Huslia, Alaska"
ak02098gyyo8,59.4424,-152.5645,"37 km WNW of Nanwalek, Alaska"
ak02098h0n9m,64.8861,-147.9409,"5 km NE of Ester, Alaska"
ak02098h37tf,56.6722,-157.4488,"72 km NE of Chignik, Alaska"
ak02098hqjd2,60.7039,-147.5303,"49 km WSW of Tatitlek, Alaska"
ak02098i1bv9,60.7496,-152.505,"66 km WNW of Salamatof, Alaska"
ak02098i2lfb,62.2849,-148.6864,"55 km NNW of Chickaloon, Alaska"
ak02098i9of4,58.3474,-133.5757,"49 km E of Juneau, Alaska"
ak02098iblgd,61.4715,-150.0902,"9 km SW of Big Lake, Alaska"
ak02098iq4rw,60.8288,-147.0223,"19 km WSW of Tatitlek, Alaska"
ak02098itkdl,58.177,-155.3596,"86 km NW of Karluk, Alaska"
ak02098iu0o9,58.1795,-155.331,"85 km NW of Karluk, Alaska"
ak02098iv1k5,60.9725,-147.979,"44 km ENE of Whittier, Alaska"
ak02098iwq7f,58.5059,-154.1794,"89 km WNW of Aleneva, Alaska"
ak02098j70ab,62.2005,-149.5791,"14 km ENE of Y, Alaska"
ak02098jf8u0,65.2157,-150.0671,"32 km S of Rampart, Alaska"
ak02098ji071,59.1166,-153.7752,"63 km SE of Pope-Vannoy Landing, Alaska"
ak02098jxga6,64.9386,-148.1918,"13 km NW of Ester, Alaska"
ak02098jz6ke,57.9526,-157.0417,"35 km SE of Egegik, Alaska"
ak02098ketzf,63.7064,-149.4692,"27 km W of McKinley Park, Alaska"
ak02098kfwvw,63.5255,-151.103,"30 km E of Denali National Park, Alaska"
ak02098kk3au,69.5949,-144.2358,"64 km SSW of Kaktovik, Alaska"
ak02098l318a,62.2015,-150.6221,"24 km WSW of Trapper Creek, Alaska"
ak02098lkk41,67.3824,-156.0531,"64 km NE of Kobuk, Alaska"
ak02098ltcqz,63.4663,-150.8723,"43 km ESE of Denali National Park, Alaska"
ak02098m6fil,60.5775,-152.4819,"63 km W of Salamatof, Alaska"
ak02098m8rm5,58.649,-152.6248,"67 km NNE of Aleneva, Alaska"
ak02098mb7hz,61.9267,-149.2951,"20 km N of Fishhook, Alaska"
ak02098mfoco,63.9505,-148.7383,"15 km NE of Healy, Alaska"
ak02098mwlyx,61.3098,-147.0111,"40 km WNW of Valdez, Alaska"
ak02098mx16o,60.8416,-150.5915,"10 km SSE of Point Possession, Alaska"
ak02098n1245,59.8698,-153.2663,"47 km E of Pedro Bay, Alaska"
ak02098nh6qx,65.4177,-153.3856,"66 km WNW of Tanana, Alaska"
ak02098ninjo,66.3103,-157.2688,"64 km S of Shungnak, Alaska"
ak02098nl9xo,63.2847,-150.4175,"71 km ESE of Denali National Park, Alaska"
ak02098nyiw8,65.1756,-150.2507,northern Alaska
ak02098o26k1,65.4328,-153.423,"69 km WNW of Tanana, Alaska"
ak02098o2mt4,61.0937,-148.4303,"38 km NNE of Whittier, Alaska"
ak02098o8u5d,58.2712,-153.9248,"Kodiak Island region, Alaska"
ak02098ok67m,64.4502,-147.8668,"40 km S of South Van Horn, Alaska"
ak02098omzgy,66.0503,-150.7943,"67 km NNW of Rampart, Alaska"
ak02098opxpg,65.1295,-161.7563,"35 km NW of Koyuk, Alaska"
ak02098osruq,58.3809,-154.7233,"91 km N of Karluk, Alaska"
ak02098pvc55,61.2334,-146.3515,"11 km N of Valdez, Alaska"
ak02098qn51b,68.9723,-147.323,"119 km NW of Arctic Village, Alaska"
ak02098r14rr,58.1553,-155.2712,"81 km NW of Karluk, Alaska"
ak02098r76wp,59.0478,-150.6019,"70 km SSE of Halibut Cove, Alaska"
ak02098rq8f0,61.4166,-152.2626,"70 km WNW of Beluga, Alaska"
ak02098rr950,58.3926,-153.8808,"68 km WNW of Aleneva, Alaska"
